mapname,filesize,filesize_bz2,sha1
bhop_airflow_v2_fix,1422588,421826,6181e6aa22cd7b751d5b494c0303f7f380e81496
bhop_patq_texture,4442284,1767733,a2414527ef6dba5a8566af4c2a2f7b62da092ac6
bhop_ancient,10246988,4492109,79cf7c8f48a2c4e3ef3a6d17cd331f034784bb54,Old maps
bhop_bunnytown31,941678,942923,5512417aa9a1729aa2a12b1847b53c71f51fb073,Old maps
bhop_despondent,16630937,6424326,aeca5fcdc6bcfef2106eabd2a702841548bfb39b,Old maps
bhop_dimensions,120768664,89281920,a361b3be8e728b15056b3ddc30657615e514b9b2,Old maps
bhop_floccidrift,187774711,104433752,785d0883916d0110628a70b13c3f0854230f3141,Old maps
bhop_fosi_unfinished,14785409,1621816,6181ce5ab1f3f8c4cb53fa9224ecc609f9df3c9c,Old maps
bhop_fuji,53938380,35570035,b54bcf3d0bbd7e3f714c97981d34280662e03f27,Old maps
bhop_galaxy,6397663,2195590,63f89b2afcadbfdee45c64313c14031aa92925e8,Old maps
bhop_illusionary,64343523,48024382,ce55056a8ef9a3a185749f911941ff6585f90664,Old maps
bhop_kotodama,30238407,14776635,8965e4a5ef106ff743a55b0cf6c1d97a397c0133,Old maps
bhop_noimagination,8928980,3454034,3944c4a9d6fd55b6bef156b1e1f6b564e0b938f8,Old maps
bhop_padd,44087079,11451621,4d9af398f961e3f1915dbb863240504369b46275,Old maps
bhop_prometheus,186589975,65027474,9c3b62cdbb495d3a9be8283e82dc720f51305ace,Old maps
bhop_shutdown2,291979255,124116012,915c1274402677ee0366a84ec94ca2c9d81c826d,Old maps
bhop_strafearena,14230442,2838929,04824f3bec9c074b79fd16a2cadeef6cac663471,Old maps
bhop_tbd,5528760,1567289,cab7c0c9fb24b03c8abf80503ecd1b6b2f8936df,Old maps
bhop_tropic_v2,20205037,16610963,cf0ff85a0313ce5d3ad436fa0c2a3cb1feebdceb,Old maps
bhop_zig_remake,48021515,25055189,9abc814e81e3fa214af30ab35fdd24d69ca8b0a5,Old maps
First_Map_1,186952,13652,63caf3ee0ef75912f913e28235be1bab4c101c76,Old maps
kz_bhop_cube,30047658,16466772,709736b02a983a340759c643ae08ef647fd69e0d,Old maps
kz_bhop_north,283150920,132058097,57f5623317f59e1b95034402885ea1d88f19b0ac,Old maps
secondmap,1957428,24309,da36a956ed2d534f3cc0ccf5be3c5d9891b20a50,Old maps
test,261552,6413,d297e0122a1b9ef110cf1fbd42db87bbfbc286a7,Old maps
three,369468,13739,5f3e2c04d8ef34001e89c676e847680bf2fb2a8e,Old maps
bhop_floccidrift,199608212,113680380,7a1c704612397ab6a684be7c0305a43b891c54fa,Old maps/Floccidrift betas
bhop_floccidrift,187774711,104433752,785d0883916d0110628a70b13c3f0854230f3141,Old maps/Floccidrift betas
bhop_floccidrift,204512670,123879553,c874fcdbd6b9c9c7ee6129dae772bf72985bf7b7,Old maps/Floccidrift betas
bhop_floccidriftb3,204512670,123879553,c874fcdbd6b9c9c7ee6129dae772bf72985bf7b7,Old maps/Floccidrift betas
bhop_ancient1,10246988,4492109,79cf7c8f48a2c4e3ef3a6d17cd331f034784bb54,Old maps/New folder (3)
